size;merge_random;hybrid_random;merge_reverse;hybrid_reverse;merge_almost;hybrid_almost
500;0;0;0;0;0;0
600;0;0;0;0;0;0
700;0;0;0;0;0;0
800;0;0;0;0;0;0
900;0;0;0;0;0;0
1000;0;0;0;0;0;0
1100;0;0;0;0;0;0
1200;0;0;0;0;0;0
1300;0;0;0;0;0;0
1400;0;0;0;0;0;0
1500;0;0;0;0;0;0
1600;0;0;0;0;0;0
1700;0;0;0;0;0;0
1800;0;0;0;0;0;0
1900;0;0;0;0;0;0
2000;0;0;0;0;0;0
2100;0;0;0;0;0;0
2200;0;0;0;0;0;0
2300;0;0;0;0;0;0
2400;0;0;0;0;0;0
2500;0;0;0;0;0;0
2600;0;0;0;0;0;0
2700;0;0;0;0;0;0
2800;0;0;0;0;0;0
2900;0;0;0;0;0;0
3000;0;0;0;0;0;0
3100;0;0;0;0;0;0
3200;0;0;0;0;0;0
3300;0;0;0;0;0;0
3400;0;0;0;0;0;0
3500;1;0;1;0;1;0
3600;1;0;1;0;1;0
3700;1;0;1;0;1;0
3800;1;0;1;0;1;0
3900;1;0;1;0;1;0
4000;1;0;1;0;1;0
4100;1;0;1;0;1;0
4200;1;0;1;0;1;0
4300;1;0;1;0;1;0
4400;1;0;1;0;1;0
4500;1;0;1;0;1;0
4600;1;0;1;0;1;0
4700;1;0;1;0;1;0
4800;1;0;1;0;1;0
4900;1;0;1;0;1;0
5000;1;0;1;0;1;0
5100;1;0;1;0;1;0
5200;1;0;1;0;1;0
5300;1;0;1;0;1;0
5400;1;0;1;0;1;0
5500;1;0;1;0;1;0
5600;1;0;1;0;1;0
5700;1;0;1;0;1;0
5800;1;0;1;0;1;0
5900;1;0;1;0;1;0
6000;1;0;1;0;1;0
6100;1;0;1;0;1;0
6200;1;0;1;0;1;0
6300;1;0;1;0;1;0
6400;1;0;1;0;1;0
6500;1;0;1;0;1;0
6600;1;0;1;0;2;0
6700;2;0;2;0;2;0
6800;2;0;2;0;2;0
6900;2;0;2;0;2;0
7000;2;0;2;0;2;0
7100;2;0;2;0;2;0
7200;2;0;2;0;2;0
7300;2;0;2;0;2;0
7400;2;0;2;0;2;0
7500;2;0;2;0;2;0
7600;2;0;2;0;2;0
7700;2;0;2;0;2;0
7800;2;0;2;0;2;0
7900;2;1;2;1;2;1
8000;2;1;2;1;2;1
8100;2;1;2;1;2;1
8200;2;1;2;1;2;1
8300;2;1;2;1;2;1
8400;2;1;2;1;2;1
8500;2;1;2;1;2;1
8600;2;1;2;1;2;1
8700;2;1;2;1;2;1
8800;2;1;2;1;2;1
8900;2;1;2;1;2;1
9000;2;1;2;1;2;1
9100;2;1;2;1;2;1
9200;2;1;2;1;2;1
9300;2;1;2;1;2;1
9400;2;1;2;1;2;1
9500;2;1;2;1;2;1
9600;2;1;2;1;2;1
9700;3;1;2;1;3;1
9800;3;1;3;1;3;1
9900;3;1;3;1;3;1
10000;3;1;3;1;3;1
10100;3;1;3;1;3;1
10200;3;1;3;1;3;1
10300;3;1;3;1;3;1
10400;3;1;3;1;3;1
10500;3;1;3;1;3;1
10600;3;1;3;1;3;1
10700;3;1;3;1;3;1
10800;3;1;3;1;3;1
10900;3;1;3;1;3;1
11000;3;1;3;1;3;1
11100;3;1;3;1;3;1
11200;3;1;3;1;3;1
11300;3;1;3;1;3;1
11400;3;1;3;1;3;1
11500;3;1;3;1;3;1
11600;3;1;3;1;3;1
11700;3;1;3;1;3;1
11800;3;1;3;1;3;1
11900;3;1;3;1;3;1
12000;3;1;3;1;3;1
12100;3;1;3;1;3;1
